Order,Game,Victor,WinProbability,Confidence,FanProb,DogProb,FavConf,DogConf,Underdog
1,Pittsburgh@ New England,@ New England,0.588469998,9,0.4,0.6,10,5,Pittsburgh
2,Indianapolis@ Buffalo,Indianapolis,0.578170312,6,0.84,0.16,10,5,@ Buffalo
3,Green Bay@ Chicago,Green Bay,0.685711639,16,0.91,0.09,10,5,@ Chicago
4,Seattle@ St. Louis,Seattle,0.60761569,13,0.87,0.13,10,5,@ St. Louis
5,Cleveland@ New York (NYJ),@ New York (NYJ),0.588428875,8,0.66,0.34,10,5,Cleveland
6,Miami@ Washington,Miami,0.588142326,7,0.74,0.26,10,5,@ Washington
7,Carolina@ Jacksonville,Carolina,0.605047403,11,0.84,0.16,10,5,@ Jacksonville
8,Kansas City@ Houston,@ Houston,0.531604822,3,0.55,0.45,10,5,Kansas City
9,New Orleans@ Arizona,@ Arizona,0.571001295,4,0.7,0.3,10,5,New Orleans
10,Detroit@ San Diego,@ San Diego,0.572436975,5,0.69,0.31,10,5,Detroit
11,Baltimore@ Denver,@ Denver,0.61401021,14,0.89,0.11,10,5,Baltimore
12,Cincinnati@ Oakland,Cincinnati,0.607419416,12,0.78,0.22,10,5,@ Oakland
13,Tennessee@ Tampa Bay,@ Tampa Bay,0.593490116,10,0.71,0.29,10,5,Tennessee
14,New York (NYG)@ Dallas,@ Dallas,0.657412499,15,0.84,0.16,10,5,New York (NYG)
15,Philadelphia@ Atlanta,Philadelphia,0.518334512,1,0.54,0.46,10,5,@ Atlanta
16,Minnesota@ San Francisco,@ San Francisco,0.519462289,2,0.62,0.38,10,5,Minnesota
